Provinsi,Tanggal,Curah_Hujan_mm
Gorontalo,2023-01-15,1.2068512074388489
Papua Barat,2023-01-15,6.555313299404929
Jawa Barat,2023-01-15,10.04854302131652
Papua,2023-01-15,15.38608946141916
Sulawesi Utara,2023-01-15,1.9700039870587085
Sumatera Selatan,2023-01-15,15.516401404652283
Kepulauan Riau,2023-01-15,2.381956536595231
Riau,2023-01-15,9.03386408808182
Sulawesi Barat,2023-01-15,7.522098853034265
Sulawesi Selatan,2023-01-15,6.435442828244506
Aceh,2023-01-15,9.511225945264648
Bali,2023-01-15,33.42519157335238
DI Yogyakarta,2023-01-15,17.32599024011574
DKI Jakarta,2023-01-15,0.0
Jambi,2023-01-15,12.789884115285124
Jawa Tengah,2023-01-15,12.897374060327914
Jawa Timur,2023-01-15,27.27824547585009
Kalimantan Barat,2023-01-15,2.071857369696324
Kalimantan Selatan,2023-01-15,3.822372410504241
Kalimantan Tengah,2023-01-15,2.373569869698527
Kalimantan Timur,2023-01-15,3.983763659458412
Lampung,2023-01-15,7.0319589617374
Nusa Tenggara Barat,2023-01-15,14.825455864439038
Nusa Tenggara Timur,2023-01-15,7.211323324496694
Sulawesi Tengah,2023-01-15,6.481391618049688
Sulawesi Tenggara,2023-01-15,8.660394749785477
Sumatera Barat,2023-01-15,14.406504910298883
Sumatera Utara,2023-01-15,9.181241171654424
Maluku,2023-01-16,5.194229271421212
Maluku Utara,2023-01-16,3.995222875080522
Kepulauan Bangka Belitung,2023-01-16,15.576500318476592
Banten,2023-01-16,5.2229905974756745
Gorontalo,2023-01-16,0.6808187797484703
Papua Barat,2023-01-16,1.5547190415195336
Jawa Barat,2023-01-16,6.633940400095686
Papua,2023-01-16,0.4315801334856022
Sulawesi Utara,2023-01-16,4.753401542334544
Sumatera Selatan,2023-01-16,13.612463194199394
Kepulauan Riau,2023-01-16,3.158273285415416
Riau,2023-01-16,10.130048980685949
Sulawesi Barat,2023-01-16,6.688875076901506
Sulawesi Selatan,2023-01-16,4.612506381857677
Aceh,2023-01-16,7.425327112010255
Bali,2023-01-16,25.479224623784628
DI Yogyakarta,2023-01-16,14.521970079265724
DKI Jakarta,2023-01-16,4.222538590777815
Jambi,2023-01-16,16.997574750036538
Jawa Tengah,2023-01-16,12.981158253185558
Jawa Timur,2023-01-16,22.0595123735041
Kalimantan Barat,2023-01-16,0.7575938204378978
Kalimantan Selatan,2023-01-16,12.15954310263762
Kalimantan Tengah,2023-01-16,2.7297630017546424
Kalimantan Timur,2023-01-16,8.455043161395212
Lampung,2023-01-16,11.205126135858594
Nusa Tenggara Barat,2023-01-16,18.17085210183833
Nusa Tenggara Timur,2023-01-16,6.567046061955135
Sulawesi Tengah,2023-01-16,2.2302316000622797
Sulawesi Tenggara,2023-01-16,2.807880353763747
Sumatera Barat,2023-01-16,21.094989596580906
Sumatera Utara,2023-01-16,9.39007931198142
Maluku,2023-01-17,5.557125900847571
Maluku Utara,2023-01-17,3.71771926560714
Kepulauan Bangka Belitung,2023-01-17,6.579071443476884
Banten,2023-01-17,4.508312443153183
Gorontalo,2023-01-17,6.056537824181326
Papua Barat,2023-01-17,13.506822679373505
Jawa Barat,2023-01-17,6.913361704897684
Papua,2023-01-17,7.944626304532608
Sulawesi Utara,2023-01-17,0.7771695465251964
Sumatera Selatan,2023-01-17,14.114937935747246
Kepulauan Riau,2023-01-17,0.3577858845997087
Riau,2023-01-17,5.086686307369082
Sulawesi Barat,2023-01-17,8.00326982773077
Sulawesi Selatan,2023-01-17,7.601133547839413
Aceh,2023-01-17,23.770620398418863
Bali,2023-01-17,13.621687816896465
DI Yogyakarta,2023-01-17,12.101156701013345
DKI Jakarta,2023-01-17,4.452281708243368
Jambi,2023-01-17,15.4906054569116
Jawa Tengah,2023-01-17,19.03016970118817
Jawa Timur,2023-01-17,17.37469786947028
Kalimantan Barat,2023-01-17,5.957177158017922
Kalimantan Selatan,2023-01-17,12.886296106160504
Kalimantan Tengah,2023-01-17,14.473558628227194
Kalimantan Timur,2023-01-17,5.818528894716052
Lampung,2023-01-17,11.420155125991368
Nusa Tenggara Barat,2023-01-17,11.37582984022531
Nusa Tenggara Timur,2023-01-17,9.550604198756872
Sulawesi Tengah,2023-01-17,4.372945379210775
Sulawesi Tenggara,2023-01-17,4.137517715038146
Sumatera Barat,2023-01-17,8.015516528659145
Sumatera Utara,2023-01-17,10.960544277564248
Maluku,2023-01-18,2.9692360670906144
Maluku Utara,2023-01-18,10.2842500723118
Kepulauan Bangka Belitung,2023-01-18,31.34404082620831
Banten,2023-01-18,7.825249262506897
Gorontalo,2023-01-18,3.278560268597789
Papua Barat,2023-01-18,4.818577616029995
Jawa Barat,2023-01-18,15.169887233616857
Papua,2023-01-18,4.550374150513026
Sulawesi Utara,2023-01-18,4.166630728977626
Sumatera Selatan,2023-01-18,18.599885197907373
Kepulauan Riau,2023-01-18,3.506475821138118
Riau,2023-01-18,8.579443506976796
Sulawesi Barat,2023-01-18,9.109236063666591
Sulawesi Selatan,2023-01-18,4.305535777579558
Aceh,2023-01-18,12.27551348983074
Bali,2023-01-18,8.80463524353785
DI Yogyakarta,2023-01-18,22.70982727028205
DKI Jakarta,2023-01-18,10.513747112070368
Jambi,2023-01-18,20.030457456602303
Jawa Tengah,2023-01-18,35.425687394514426
Jawa Timur,2023-01-18,21.903099954423997
Kalimantan Barat,2023-01-18,12.023674861232866
Kalimantan Selatan,2023-01-18,16.951132704838255
Kalimantan Tengah,2023-01-18,12.21697531248473
Kalimantan Timur,2023-01-18,12.627511847458548
Lampung,2023-01-18,15.430295608195957
Nusa Tenggara Barat,2023-01-18,5.527266054551731
Nusa Tenggara Timur,2023-01-18,9.919309738633864
Sulawesi Tengah,2023-01-18,3.3289114246523117
Sulawesi Tenggara,2023-01-18,1.6397418022531651
Sumatera Barat,2023-01-18,4.394102426933426
Sumatera Utara,2023-01-18,1.8587974646192773
Maluku,2023-01-19,10.529525086723114
Maluku Utara,2023-01-19,6.382501496883606
Kepulauan Bangka Belitung,2023-01-19,21.29012265943803
Banten,2023-01-19,5.258739315161709
Gorontalo,2023-01-19,0.3233082291362282
Papua Barat,2023-01-19,12.500872551218524
