Provinsi,Tahun_Raw,LuasPanen,Tahun
Papua Barat,Luas Panen Bawang Merah (hektar) (Ha) 2020,43.25,2020
Riau,Luas Panen Bawang Merah (hektar) (Ha) 2020,63.08,2020
Sulawesi Barat,Luas Panen Bawang Merah (hektar) (Ha) 2020,244.0,2020
Sulawesi Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2020,12457.5,2020
Sulawesi Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2020,1054.5,2020
Sulawesi Tenggara,Luas Panen Bawang Merah (hektar) (Ha) 2020,226.15,2020
Sulawesi Utara,Luas Panen Bawang Merah (hektar) (Ha) 2020,979.45,2020
Sumatera Barat,Luas Panen Bawang Merah (hektar) (Ha) 2020,13551.25,2020
Sumatera Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2020,139.75,2020
Sumatera Utara,Luas Panen Bawang Merah (hektar) (Ha) 2020,3059.53,2020
