Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Kalimantan Selatan,Kalimantan Timur,3,6.4345725498936945e-09,dengan_kontrol,574,distribusi,6.277631755993849e-08,True
Kalimantan Selatan,Kalimantan Timur,7,4.446713615875842e-08,dengan_kontrol,574,distribusi,3.420548935289109e-07,True
Kalimantan Selatan,Kalimantan Timur,14,1.2688259610693285e-05,dengan_kontrol,574,distribusi,5.050749840813168e-05,True
Nusa Tenggara Barat,Kalimantan Timur,1,0.9043880466586321,dengan_kontrol,574,distribusi,0.9066546833670497,False
Nusa Tenggara Barat,Kalimantan Timur,3,0.012142311590594885,dengan_kontrol,574,distribusi,0.02217773806501349,True
Nusa Tenggara Barat,Kalimantan Timur,7,0.003078546239944605,dengan_kontrol,574,distribusi,0.0067290628195510495,True
Nusa Tenggara Barat,Kalimantan Timur,14,0.003881970780099971,dengan_kontrol,574,distribusi,0.008259512298085045,True
Sulawesi Selatan,Kalimantan Timur,1,0.0002596902292733392,dengan_kontrol,574,distribusi,0.0007810232459348548,True
Sulawesi Selatan,Kalimantan Timur,3,4.318990057135981e-05,dengan_kontrol,574,distribusi,0.0001501205737874486,True
Sulawesi Selatan,Kalimantan Timur,7,0.007255665468275423,dengan_kontrol,574,distribusi,0.014296877770000835,True
Sulawesi Selatan,Kalimantan Timur,14,0.03263499184376026,dengan_kontrol,574,distribusi,0.05285018922066438,False
Jawa Timur,Kalimantan Utara,1,0.4894345065160909,dengan_kontrol,574,distribusi,0.5483860016987013,False
Jawa Timur,Kalimantan Utara,3,0.5681217800196819,dengan_kontrol,574,distribusi,0.6158501680430156,False
Jawa Timur,Kalimantan Utara,7,0.019439038067767492,dengan_kontrol,574,distribusi,0.033807022726552165,True
Jawa Timur,Kalimantan Utara,14,0.0029553018256752266,dengan_kontrol,574,distribusi,0.0066040264260898915,True
Kalimantan Timur,Kalimantan Utara,1,0.012795514887675333,dengan_kontrol,574,distribusi,0.02315930296411825,True
Kalimantan Timur,Kalimantan Utara,3,1.0590673236766343e-07,dengan_kontrol,574,distribusi,7.060448824510896e-07,True
Kalimantan Timur,Kalimantan Utara,7,1.126710553080967e-06,dengan_kontrol,574,distribusi,5.8530418341868415e-06,True
Kalimantan Timur,Kalimantan Utara,14,4.982407985137758e-05,dengan_kontrol,574,distribusi,0.00016889518593687317,True
Sulawesi Selatan,Kalimantan Utara,1,0.09754587514315288,dengan_kontrol,574,distribusi,0.1354803821432679,False
Sulawesi Selatan,Kalimantan Utara,3,0.00015467069681641756,dengan_kontrol,574,distribusi,0.0004833459275513049,True
Sulawesi Selatan,Kalimantan Utara,7,0.00044086685469222096,dengan_kontrol,574,distribusi,0.0011915320397087052,True
Sulawesi Selatan,Kalimantan Utara,14,0.0005951151917473305,dengan_kontrol,574,distribusi,0.001525936389095719,True
Sulawesi Utara,Kalimantan Utara,1,0.5082261963809132,dengan_kontrol,574,distribusi,0.5631315195356379,False
Sulawesi Utara,Kalimantan Utara,3,0.010663919842915369,dengan_kontrol,574,distribusi,0.01992052858851068,True
Sulawesi Utara,Kalimantan Utara,7,2.4163042053029172e-08,dengan_kontrol,574,distribusi,2.013586837752431e-07,True
Sulawesi Utara,Kalimantan Utara,14,1.5895658047649084e-09,dengan_kontrol,574,distribusi,1.8166466340170382e-08,True
DKI Jakarta,Kepulauan Bangka Belitung,1,5.140362592472473e-08,dengan_kontrol,574,distribusi,3.738445521798162e-07,True
DKI Jakarta,Kepulauan Bangka Belitung,3,7.966110130977915e-11,dengan_kontrol,574,distribusi,1.3854104575613765e-09,True
DKI Jakarta,Kepulauan Bangka Belitung,7,7.228413121659154e-13,dengan_kontrol,574,distribusi,1.9559303353699047e-11,True
DKI Jakarta,Kepulauan Bangka Belitung,14,1.6919050685788852e-11,dengan_kontrol,574,distribusi,3.222676321102639e-10,True
Jawa Barat,Kepulauan Bangka Belitung,1,1.968471422205695e-05,dengan_kontrol,574,distribusi,7.358771671796991e-05,True
Jawa Barat,Kepulauan Bangka Belitung,3,1.2437368628911331e-33,dengan_kontrol,574,distribusi,1.6583158171881775e-31,True
Jawa Barat,Kepulauan Bangka Belitung,7,8.325459728761268e-34,dengan_kontrol,574,distribusi,1.6583158171881775e-31,True
Jawa Barat,Kepulauan Bangka Belitung,14,1.5853376397142556e-37,dengan_kontrol,574,distribusi,6.341350558857023e-35,True
Jawa Tengah,Kepulauan Bangka Belitung,1,3.0689160978841188e-16,dengan_kontrol,574,distribusi,1.3639627101707194e-14,True
Jawa Tengah,Kepulauan Bangka Belitung,3,3.524606479965953e-20,dengan_kontrol,574,distribusi,2.3497376533106354e-18,True
Jawa Tengah,Kepulauan Bangka Belitung,7,2.1836627127216957e-23,dengan_kontrol,574,distribusi,1.7469301701773564e-21,True
Jawa Tengah,Kepulauan Bangka Belitung,14,1.6304920661900004e-31,dengan_kontrol,574,distribusi,1.6304920661900003e-29,True
Jawa Timur,Kepulauan Bangka Belitung,1,1.4007996527775303e-09,dengan_kontrol,574,distribusi,1.697938973063673e-08,True
Jawa Timur,Kepulauan Bangka Belitung,3,1.4550345729349101e-15,dengan_kontrol,574,distribusi,4.8501152431163675e-14,True
Jawa Timur,Kepulauan Bangka Belitung,7,6.699154270205447e-18,dengan_kontrol,574,distribusi,3.3495771351027236e-16,True
Jawa Timur,Kepulauan Bangka Belitung,14,7.222550314654822e-19,dengan_kontrol,574,distribusi,4.127171608374184e-17,True
Jawa Tengah,Kepulauan Riau,1,0.9491292403840601,dengan_kontrol,574,distribusi,0.9491292403840601,False
Jawa Tengah,Kepulauan Riau,3,0.8926935715008243,dengan_kontrol,574,distribusi,0.8994393667514602,False
Jawa Tengah,Kepulauan Riau,7,0.6925989746623409,dengan_kontrol,574,distribusi,0.7233409657047947,False
Jawa Tengah,Kepulauan Riau,14,0.6552774092571851,dengan_kontrol,574,distribusi,0.6897656939549318,False
Sumatera Utara,Kepulauan Riau,1,0.06359963935908994,dengan_kontrol,574,distribusi,0.09492483486431333,False
Sumatera Utara,Kepulauan Riau,3,0.1646370357890181,dengan_kontrol,574,distribusi,0.21451079581631022,False
Sumatera Utara,Kepulauan Riau,7,0.49766340213230287,dengan_kontrol,574,distribusi,0.5544996124036801,False
Sumatera Utara,Kepulauan Riau,14,0.7174923958472668,dengan_kontrol,574,distribusi,0.7435154361111573,False
DKI Jakarta,Lampung,1,0.02106045113935892,dengan_kontrol,574,distribusi,0.03615528092593806,True
DKI Jakarta,Lampung,3,0.14984043746348966,dengan_kontrol,574,distribusi,0.198464155580781,False
DKI Jakarta,Lampung,7,0.43704497827465005,dengan_kontrol,574,distribusi,0.5018260509287578,False
DKI Jakarta,Lampung,14,0.7403228864678266,dengan_kontrol,574,distribusi,0.7651916139202343,False
Jawa Barat,Lampung,1,5.77662924855483e-09,dengan_kontrol,574,distribusi,5.776629248554829e-08,True
Jawa Barat,Lampung,3,1.5928719577827152e-08,dengan_kontrol,574,distribusi,1.4158861846957469e-07,True
Jawa Barat,Lampung,7,4.979705413701358e-07,dengan_kontrol,574,distribusi,2.8867857470732515e-06,True
Jawa Barat,Lampung,14,1.0166665379692797e-06,dengan_kontrol,574,distribusi,5.422221535836158e-06,True
Jawa Tengah,Lampung,1,1.4871127730187326e-10,dengan_kontrol,574,distribusi,2.379380436829972e-09,True
Jawa Tengah,Lampung,3,1.0784562182304707e-08,dengan_kontrol,574,distribusi,9.804147438458825e-08,True
